event_time,user_host,sqlcommand
"2019-02-23 06:39:11.569001","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`session_ssl_status`"
"2019-02-23 06:39:11.595178","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statement_analysis`"
"2019-02-23 06:39:11.621073","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_errors_or_warnings`"
"2019-02-23 06:39:11.647081","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_full_table_scans`"
"2019-02-23 06:39:11.673192","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_runtimes_in_95th_percentile`"
"2019-02-23 06:39:11.699116","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_sorting`"
"2019-02-23 06:39:11.725215","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_temp_tables`"
"2019-02-23 06:39:11.751116","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary`"
"2019-02-23 06:39:11.776965","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_file_io`"
"2019-02-23 06:39:11.803167","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_file_io_type`"
"2019-02-23 06:39:11.829060","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_stages`"
"2019-02-23 06:39:11.855572","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_statement_latency`"
"2019-02-23 06:39:11.881237","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_statement_type`"
"2019-02-23 06:39:11.907193","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`version`"
"2019-02-23 06:39:11.932784","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`wait_classes_global_by_avg_latency`"
"2019-02-23 06:39:11.959196","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`wait_classes_global_by_latency`"
"2019-02-23 06:39:11.985063","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`waits_by_host_by_latency`"
"2019-02-23 06:39:12.018984","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`waits_by_user_by_latency`"
"2019-02-23 06:39:12.045067","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`waits_global_by_latency`"
"2019-02-23 06:39:12.071144","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary`"
"2019-02-23 06:39:12.097073","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_file_io`"
"2019-02-23 06:39:12.122742","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_file_io_type`"
"2019-02-23 06:39:12.149158","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_stages`"
"2019-02-23 06:39:12.175186","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_statement_latency`"
"2019-02-23 06:39:12.201087","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_statement_type`"
"2019-02-23 06:39:12.227164","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$innodb_buffer_stats_by_schema`"
"2019-02-23 06:39:12.253114","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$innodb_buffer_stats_by_table`"
"2019-02-23 06:39:12.279213","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$innodb_lock_waits`"
"2019-02-23 06:39:12.305055","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_by_thread_by_latency`"
"2019-02-23 06:39:12.331262","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_file_by_bytes`"
"2019-02-23 06:39:12.357214","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_file_by_latency`"
"2019-02-23 06:39:12.383187","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_wait_by_bytes`"
"2019-02-23 06:39:12.409100","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_wait_by_latency`"
"2019-02-23 06:39:12.435096","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$latest_file_io`"
"2019-02-23 06:39:12.461080","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_by_host_by_current_bytes`"
"2019-02-23 06:39:12.487226","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_by_thread_by_current_bytes`"
"2019-02-23 06:39:12.514343","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_by_user_by_current_bytes`"
"2019-02-23 06:39:12.539236","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_global_by_current_bytes`"
"2019-02-23 06:39:12.565142","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_global_total`"
"2019-02-23 06:39:12.591053","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$processlist`"
"2019-02-23 06:39:12.618458","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$ps_digest_95th_percentile_by_avg_us`"
"2019-02-23 06:39:12.645212","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$ps_digest_avg_latency_distribution`"
"2019-02-23 06:39:12.671243","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$ps_schema_table_statistics_io`"
"2019-02-23 06:39:12.699172","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_flattened_keys`"
"2019-02-23 06:39:12.725171","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_index_statistics`"
"2019-02-23 06:39:12.751106","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_table_lock_waits`"
"2019-02-23 06:39:12.777115","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_table_statistics`"
"2019-02-23 06:39:12.803164","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_table_statistics_with_buffer`"
"2019-02-23 06:39:12.829205","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_tables_with_full_table_scans`"
"2019-02-23 06:39:12.855671","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$session`"
"2019-02-23 06:39:12.882666","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statement_analysis`"
"2019-02-23 06:39:12.909092","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_errors_or_warnings`"
"2019-02-23 06:39:12.935193","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_full_table_scans`"
"2019-02-23 06:39:12.961123","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_runtimes_in_95th_percentile`"
"2019-02-23 06:39:12.987104","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_sorting`"
"2019-02-23 06:39:13.014251","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_temp_tables`"
"2019-02-23 06:39:13.041108","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary`"
"2019-02-23 06:39:13.067118","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_file_io`"
"2019-02-23 06:39:13.093204","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_file_io_type`"
"2019-02-23 06:39:13.119197","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_stages`"
"2019-02-23 06:39:13.145189","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_statement_latency`"
"2019-02-23 06:39:13.171243","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_statement_type`"
"2019-02-23 06:39:13.197083","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$wait_classes_global_by_avg_latency`"
"2019-02-23 06:39:13.223109","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$wait_classes_global_by_latency`"
"2019-02-23 06:39:13.249214","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$waits_by_host_by_latency`"
"2019-02-23 06:39:13.277214","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$waits_by_user_by_latency`"
"2019-02-23 06:39:13.302840","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$waits_global_by_latency`"
"2019-02-23 06:39:13.394083","root[root] @  [82.102.20.168]","SHOW FULL TABLES FROM `classicmodels`"
"2019-02-23 06:39:13.418926","root[root] @  [82.102.20.168]","SHOW PROCEDURE STATUS WHERE Db='classicmodels'"
"2019-02-23 06:39:13.445303","root[root] @  [82.102.20.168]","SHOW FUNCTION STATUS WHERE Db='classicmodels'"
"2019-02-23 06:39:13.495071","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`customers`"
"2019-02-23 06:39:13.505123","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`customers`"
"2019-02-23 06:39:13.520896","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`employees`"
"2019-02-23 06:39:13.547163","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`offices`"
"2019-02-23 06:39:13.555234","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`customers`"
"2019-02-23 06:39:13.573195","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orderdetails`"
"2019-02-23 06:39:13.604225","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orders`"
"2019-02-23 06:39:13.614514","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`employees`"
"2019-02-23 06:39:13.629032","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`payments`"
"2019-02-23 06:39:13.655213","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`productlines`"
"2019-02-23 06:39:13.665217","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`employees`"
"2019-02-23 06:39:13.681048","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`products`"
"2019-02-23 06:39:13.715157","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`offices`"
"2019-02-23 06:39:13.765148","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`offices`"
"2019-02-23 06:39:13.815270","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orders`"
"2019-02-23 06:39:13.866297","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`orders`"
"2019-02-23 06:39:13.919347","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`productlines`"
"2019-02-23 06:39:13.969278","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`productlines`"
"2019-02-23 06:39:14.019349","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`products`"
"2019-02-23 06:39:14.068968","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`products`"
"2019-02-23 06:39:48.446891","root[root] @  [82.102.20.168]","set autocommit=0"
"2019-02-23 06:39:49.263154","root[root] @  [82.102.20.168]","INSERT INTO `classicmodels`.`employees` (`employeeNumber`, `lastName`, `firstName`, `extension`, `email`, `officeCode`, `reportsTo`, `jobTitle`) VALUES ('1705', 'Gates', 'Bingo', 'x2330', 'billgates@apple.dk', '4', '1102', 'Sales Rep')"
"2019-02-23 06:39:49.288826","root[root] @  [82.102.20.168]","INSERT INTO `classicmodels`.`employees` (`employeeNumber`, `lastName`, `firstName`, `extension`, `email`, `officeCode`, `reportsTo`, `jobTitle`) VALUES ('1705', 'Gates', 'Bingo', 'x2330', 'billgates@apple.dk', '4', '1102', 'Sales Rep')"
"2019-02-23 06:39:49.314714","root[root] @  [82.102.20.168]",commit
"2019-02-23 06:39:49.340677","root[root] @  [82.102.20.168]",
"2019-02-23 06:39:49.340863","root[root] @  [82.102.20.168]","SELECT * FROM classicmodels.employees
LIMIT 0, 1000"
"2019-02-23 06:39:49.364898","root[root] @  [82.102.20.168]","SHOW INDEX FROM `classicmodels`.`employees`"
"2019-02-23 06:39:50.468735","root[root] @  [82.102.20.168]","set autocommit=1"
"2019-02-23 06:39:54.298111","root[root] @  [82.102.20.168]","select * from mysql.general_log
LIMIT 0, 1000"
"2019-02-23 06:39:54.381136","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 22"
"2019-02-23 06:39:54.432957","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 705"
"2019-02-23 06:39:54.483097","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 705"
"2019-02-23 06:39:54.508842","root[root] @  [82.102.20.168]","SHOW INDEX FROM `mysql`.`general_log`"
"2019-02-23 06:42:15.745707","root[root] @  [82.102.20.168]","select CONVERT(sql_text USING utf8 ) from mysql.slow_log
LIMIT 0, 1000"
"2019-02-23 06:42:15.817371","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 22"
"2019-02-23 06:42:15.870713","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 707"
"2019-02-23 06:42:15.919584","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 707"
"2019-02-23 06:42:35.835483","root[root] @  [82.102.20.168]","select CONVERT(argument USING utf8 ) from mysql.general_log
LIMIT 0, 1000"
"2019-02-23 06:42:35.908895","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 22"
"2019-02-23 06:42:35.959417","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 709"
"2019-02-23 06:42:36.007596","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 709"
"2019-02-23 06:48:33.522013","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:33.522679","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:48:34.665014","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:34.665230","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:48:35.716323","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:35.716493","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:48:37.685369","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:37.685616","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:48:38.806833","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:38.807127","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:48:39.948900","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:39.949134","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:48:40.925414","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:40.925641","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:48:41.927436","[] @  [222.186.138.63]","Client does not support authentication protocol requested by server; consider upgrading MySQL client"
"2019-02-23 06:48:41.927790","[root] @  [222.186.138.63]","root@222.186.138.63 on mysql using TCP/IP"
"2019-02-23 06:49:50.842007","[root] @ localhost []","root@localhost on  using Socket"
"2019-02-23 06:49:50.842772","root[root] @ localhost []","/*!40100 SET @@SQL_MODE='' */"
"2019-02-23 06:49:50.843061","root[root] @ localhost []","/*!40103 SET TIME_ZONE='+00:00' */"
"2019-02-23 06:49:50.843179","root[root] @ localhost []","/*!80000 SET SESSION information_schema_stats_expiry=0 */"
"2019-02-23 06:49:50.843281","root[root] @ localhost []","SET SESSION NET_READ_TIMEOUT= 700, SESSION NET_WRITE_TIMEOUT= 700"
"2019-02-23 06:49:50.843442","root[root] @ localhost []","SHOW VARIABLES LIKE 'gtid\_mode'"
"2019-02-23 06:49:50.849059","root[root] @ localhost []","SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IN (SELECT DISTINCT LOGFILE_GROUP_NAME FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA IN ('DATABASE'))) GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME"
"2019-02-23 06:49:50.855934","root[root] @ localhost []","SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA IN ('DATABASE')) ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME"
"2019-02-23 06:49:50.856837","root[root] @ localhost []","SHOW VARIABLES LIKE 'ndbinfo\_version'"
"2019-02-23 06:49:50.860725","root[root] @ localhost []",
"2019-02-23 06:50:09.943113","[root] @ localhost []","root@localhost on  using Socket"
"2019-02-23 06:50:09.943416","root[root] @ localhost []","/*!40100 SET @@SQL_MODE='' */"
"2019-02-23 06:50:09.943586","root[root] @ localhost []","/*!40103 SET TIME_ZONE='+00:00' */"
"2019-02-23 06:50:09.943660","root[root] @ localhost []","/*!80000 SET SESSION information_schema_stats_expiry=0 */"
"2019-02-23 06:50:09.943710","root[root] @ localhost []","SET SESSION NET_READ_TIMEOUT= 700, SESSION NET_WRITE_TIMEOUT= 700"
"2019-02-23 06:50:09.943794","root[root] @ localhost []","SHOW VARIABLES LIKE 'gtid\_mode'"
"2019-02-23 06:50:09.945223","root[root] @ localhost []","SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IN (SELECT DISTINCT LOGFILE_GROUP_NAME FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA IN ('classicmodels'))) GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME"
"2019-02-23 06:50:09.948019","root[root] @ localhost []","SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA IN ('classicmodels')) ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME"
"2019-02-23 06:50:09.948937","root[root] @ localhost []","SHOW VARIABLES LIKE 'ndbinfo\_version'"
"2019-02-23 06:50:09.950003","root[root] @ localhost []",classicmodels
"2019-02-23 06:50:09.950097","root[root] @ localhost []","show tables"
"2019-02-23 06:50:09.952015","root[root] @ localhost []","LOCK TABLES `customers` READ /*!32311 LOCAL */,`employees` READ /*!32311 LOCAL */,`offices` READ /*!32311 LOCAL */,`orderdetails` READ /*!32311 LOCAL */,`orders` READ /*!32311 LOCAL */,`payments` READ /*!32311 LOCAL */,`productlines` READ /*!32311 LOCAL */,`products` READ /*!32311 LOCAL */"
"2019-02-23 06:50:09.953369","root[root] @ localhost []","show table status like 'customers'"
"2019-02-23 06:50:09.954161","root[root] @ localhost []","SET SQL_QUOTE_SHOW_CREATE=1"
"2019-02-23 06:50:09.954249","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.954334","root[root] @ localhost []","show create table `customers`"
"2019-02-23 06:50:09.954510","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.954589","root[root] @ localhost []","show fields from `customers`"
"2019-02-23 06:50:09.955403","root[root] @ localhost []","show fields from `customers`"
"2019-02-23 06:50:09.956207","root[root] @ localhost []","SELECT /*!40001 SQL_NO_CACHE */ * FROM `customers`"
"2019-02-23 06:50:09.957099","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.957196","root[root] @ localhost []","use `classicmodels`"
"2019-02-23 06:50:09.957276","root[root] @ localhost []","select @@collation_database"
"2019-02-23 06:50:09.957373","root[root] @ localhost []","SHOW TRIGGERS LIKE 'customers'"
"2019-02-23 06:50:09.959649","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.959737","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.959823","root[root] @ localhost []","SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'classicmodels' AND TABLE_NAME = 'customers'"
"2019-02-23 06:50:09.960344","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.960469","root[root] @ localhost []","show table status like 'employees'"
"2019-02-23 06:50:09.961178","root[root] @ localhost []","SET SQL_QUOTE_SHOW_CREATE=1"
"2019-02-23 06:50:09.961256","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.961308","root[root] @ localhost []","show create table `employees`"
"2019-02-23 06:50:09.961448","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.961516","root[root] @ localhost []","show fields from `employees`"
"2019-02-23 06:50:09.962194","root[root] @ localhost []","show fields from `employees`"
"2019-02-23 06:50:09.962864","root[root] @ localhost []","SELECT /*!40001 SQL_NO_CACHE */ * FROM `employees`"
"2019-02-23 06:50:09.963235","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.963307","root[root] @ localhost []","use `classicmodels`"
"2019-02-23 06:50:09.963367","root[root] @ localhost []","select @@collation_database"
"2019-02-23 06:50:09.963433","root[root] @ localhost []","SHOW TRIGGERS LIKE 'employees'"
"2019-02-23 06:50:09.963929","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.964002","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.964080","root[root] @ localhost []","SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'classicmodels' AND TABLE_NAME = 'employees'"
"2019-02-23 06:50:09.964248","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.964336","root[root] @ localhost []","show table status like 'offices'"
"2019-02-23 06:50:09.965003","root[root] @ localhost []","SET SQL_QUOTE_SHOW_CREATE=1"
"2019-02-23 06:50:09.965068","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.965120","root[root] @ localhost []","show create table `offices`"
"2019-02-23 06:50:09.965236","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.965304","root[root] @ localhost []","show fields from `offices`"
"2019-02-23 06:50:09.965912","root[root] @ localhost []","show fields from `offices`"
"2019-02-23 06:50:09.966556","root[root] @ localhost []","SELECT /*!40001 SQL_NO_CACHE */ * FROM `offices`"
"2019-02-23 06:50:09.966707","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.966771","root[root] @ localhost []","use `classicmodels`"
"2019-02-23 06:50:09.966839","root[root] @ localhost []","select @@collation_database"
"2019-02-23 06:50:09.966910","root[root] @ localhost []","SHOW TRIGGERS LIKE 'offices'"
"2019-02-23 06:50:09.967349","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.967421","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.967533","root[root] @ localhost []","SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'classicmodels' AND TABLE_NAME = 'offices'"
"2019-02-23 06:50:09.967721","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.967799","root[root] @ localhost []","show table status like 'orderdetails'"
"2019-02-23 06:50:09.968464","root[root] @ localhost []","SET SQL_QUOTE_SHOW_CREATE=1"
"2019-02-23 06:50:09.968527","root[root] @ localhost []","SET SESSION character_set_results = 'binary'"
"2019-02-23 06:50:09.968573","root[root] @ localhost []","show create table `orderdetails`"
"2019-02-23 06:50:09.968696","root[root] @ localhost []","SET SESSION character_set_results = 'utf8mb4'"
"2019-02-23 06:50:09.968758","root[root] @ localhost []","show fields from `orderdetails`"
"2019-02-23 06:50:09.969335","root[root] @ localhost []","show fields from `orderdetails`"
"2019-02-23 06:50:09.969940","root[root] @ localhost []","SELECT /*!40001 SQL_NO_CACHE */ * FROM `orderdetails`"
